Plant,Side,competitors,compartment_fungus,N_level,percent_col,competitors_reordered,versus
6001,A,Sp/None,Sp,Low,26.94048033414549,Sp/None,None
6001,B,Sp/None,None,Low,0,Sp/None,Sp
6006,A,Tt/Tt,Tt,High,17.881517881517883,Tt/Tt,Tt
6006,B,Tt/Tt,Tt,High,22.3674096848578,Tt/Tt,Tt
6007,A,Sp/None,None,Low,0,Sp/None,Sp
6007,B,Sp/None,Sp,Low,27.287581699346404,Sp/None,None
6008,A,Sp/Sp,Sp,Low,0,Sp/Sp,Sp
6008,B,Sp/Sp,Sp,Low,1.2438455558434829,Sp/Sp,Sp
6010,A,Tt/None,Tt,High,14.015184571079502,Tt/None,None
6010,B,Tt/None,None,High,0,Tt/None,Tt
6011,A,Tt/Sp,Tt,Low,22.72817263908137,Tt/Sp,Sp
6011,B,Tt/Sp,Sp,Low,0,Tt/Sp,Tt
6012,A,Tt/Sp,Tt,High,56.83629675045983,Tt/Sp,Sp
6012,B,Tt/Sp,Sp,High,9.669211195928755,Tt/Sp,Tt
6013,A,Sp/None,Sp,Low,8.046791917759657,Sp/None,None
6013,B,Sp/None,None,Low,0,Sp/None,Sp
6014,A,None/None,None,High,0,None/None,None
6014,B,None/None,None,High,0,None/None,None
6015,A,Tt/Sp,Sp,High,39.615623062616244,Tt/Sp,Tt
6015,B,Tt/Sp,Tt,High,46.8050468050468,Tt/Sp,Sp
6016,A,Tt/None,Tt,Low,47.55043227665706,Tt/None,None
6016,B,Tt/None,None,Low,0,Tt/None,Tt
6019,A,Sp/Sp,Sp,Low,48.0020757654385,Sp/Sp,Sp
6019,B,Sp/Sp,Sp,Low,4.965490797546012,Sp/Sp,Sp
6020,A,Sp/Sp,Sp,Low,0,Sp/Sp,Sp
6020,B,Sp/Sp,Sp,Low,0,Sp/Sp,Sp
6021,A,Tt/Tt,Tt,Low,31.38189244383935,Tt/Tt,Tt
6021,B,Tt/Tt,Tt,Low,7.3904837588159324,Tt/Tt,Tt
6022,A,Tt/Tt,Tt,High,48.63325740318907,Tt/Tt,Tt
6022,B,Tt/Tt,Tt,High,33.057851239669425,Tt/Tt,Tt
6023,A,Tt/Tt,Tt,High,33.44594594594595,Tt/Tt,Tt
6023,B,Tt/Tt,Tt,High,5.708245243128964,Tt/Tt,Tt
6024,A,Tt/Tt,Tt,High,19.488337095560567,Tt/Tt,Tt
6024,B,Tt/Tt,Tt,High,32.47422680412371,Tt/Tt,Tt
6025,A,Tt/Sp,Tt,High,28.046093882392807,Tt/Sp,Sp
6025,B,Tt/Sp,Sp,High,20.20717377860235,Tt/Sp,Tt
6026,A,Tt/Tt,Tt,High,22.736824409515002,Tt/Tt,Tt
6026,B,Tt/Tt,Tt,High,13.999999999999998,Tt/Tt,Tt
6029,A,Tt/Tt,Tt,Low,0.2082369273484498,Tt/Tt,Tt
6029,B,Tt/Tt,Tt,Low,3.7536800785083417,Tt/Tt,Tt
6030,A,Tt/Tt,Tt,Low,8.941877794336811,Tt/Tt,Tt
6030,B,Tt/Tt,Tt,Low,13.640256959314774,Tt/Tt,Tt
6031,A,Tt/None,Tt,Low,30.92585478294275,Tt/None,None
6031,B,Tt/None,None,Low,0,Tt/None,Tt
6032,A,Tt/Tt,Tt,Low,42.306451612903224,Tt/Tt,Tt
6032,B,Tt/Tt,Tt,Low,34.564682022309135,Tt/Tt,Tt
6033,A,Sp/Sp,Sp,Low,28.693528693528698,Sp/Sp,Sp
6033,B,Sp/Sp,Sp,Low,5.128205128205129,Sp/Sp,Sp
6035,A,Tt/Tt,Tt,Low,4.555198285101822,Tt/Tt,Tt
6035,B,Tt/Tt,Tt,Low,16.603343465045594,Tt/Tt,Tt
6036,A,Sp/Sp,Sp,Low,0.6544502617801047,Sp/Sp,Sp
6036,B,Sp/Sp,Sp,Low,0,Sp/Sp,Sp
6038,A,Tt/Tt,Tt,High,4.889346371590324,Tt/Tt,Tt
6038,B,Tt/Tt,Tt,High,46.96531791907515,Tt/Tt,Tt
6039,A,Tt/None,Tt,Low,29.974956655750336,Tt/None,None
6039,B,Tt/None,None,Low,0,Tt/None,Tt
6040,A,Tt/None,Tt,High,88.40688107703815,Tt/None,None
6040,B,Tt/None,None,High,0,Tt/None,Tt
6041,A,Tt/Sp,Sp,High,30.827067669172934,Tt/Sp,Tt
6041,B,Tt/Sp,Tt,High,4.864864864864864,Tt/Sp,Sp
6043,A,Sp/Sp,Sp,High,13.693998309382925,Sp/Sp,Sp
6043,B,Sp/Sp,Sp,High,4.190283400809716,Sp/Sp,Sp
6044,A,Tt/Tt,Tt,Low,23.95979429640019,Tt/Tt,Tt
6044,B,Tt/Tt,Tt,Low,6.863468634686347,Tt/Tt,Tt
6045,A,Tt/Tt,Tt,Low,22.626974800887844,Tt/Tt,Tt
6045,B,Tt/Tt,Tt,Low,50.21205695243866,Tt/Tt,Tt
6048,A,Tt/None,None,High,0,Tt/None,Tt
6048,B,Tt/None,Tt,High,14.366883116883118,Tt/None,None
6049,A,Tt/None,Tt,High,16.073264180917672,Tt/None,None
6049,B,Tt/None,None,High,0,Tt/None,Tt
6050,A,Sp/Sp,Sp,High,27.593234155288364,Sp/Sp,Sp
6050,B,Sp/Sp,Sp,High,41.03794810259487,Sp/Sp,Sp
6051,A,Tt/None,None,High,0,Tt/None,Tt
6051,B,Tt/None,Tt,High,44.53524004085802,Tt/None,None
6053,A,Tt/Sp,Tt,Low,25.593329057087875,Tt/Sp,Sp
6053,B,Tt/Sp,Sp,Low,10.94127111826227,Tt/Sp,Tt
6054,A,Tt/None,Tt,Low,29.216867469879517,Tt/None,None
6054,B,Tt/None,None,Low,0,Tt/None,Tt
6055,A,Tt/Tt,Tt,High,21.1814051031108,Tt/Tt,Tt
6055,B,Tt/Tt,Tt,High,15.141955835962145,Tt/Tt,Tt
6058,A,None/None,None,Low,0,None/None,None
6058,B,None/None,None,Low,0,None/None,None
6061,A,Tt/None,None,Low,0,Tt/None,Tt
6061,B,Tt/Tt,Tt,Low,4.910141206675225,Tt/Tt,Tt
6062,A,Sp/None,Sp,Low,3.413702554308905,Sp/None,None
6062,B,Sp/None,None,Low,0,Sp/None,Sp
6063,A,Sp/None,Sp,High,15.210073556913102,Sp/None,None
6063,B,Sp/None,None,High,0,Sp/None,Sp
6064,A,Tt/Sp,Sp,High,4.191209787041233,Tt/Sp,Tt
6064,B,Tt/Sp,Tt,High,17.16417910447761,Tt/Sp,Sp
6065,A,Tt/Tt,Tt,High,54.69457705961562,Tt/Tt,Tt
6065,B,Tt/Tt,Tt,High,8.503822351656352,Tt/Tt,Tt
6066,A,Tt/Tt,Tt,High,40.52957505872305,Tt/Tt,Tt
6066,B,Tt/Tt,Tt,High,20.187110187110186,Tt/Tt,Tt
6068,A,Tt/None,None,High,0,Tt/None,Tt
6068,B,Tt/None,Tt,High,33.95542670773691,Tt/None,None
6069,A,Tt/None,Tt,Low,10.89445991952956,Tt/None,None
6069,B,Tt/None,None,Low,0,Tt/None,Tt
6070,A,Tt/Tt,Tt,High,28.365384615384617,Tt/Tt,Tt
6070,B,Tt/Tt,Tt,High,25.568942436412318,Tt/Tt,Tt
6071,A,Tt/Sp,Tt,Low,54.32065939909598,Tt/Sp,Sp
6071,B,Tt/Sp,Sp,Low,6.0346995222529545,Tt/Sp,Tt
6072,A,Tt/Tt,Tt,Low,58.783783783783775,Tt/Tt,Tt
6072,B,Tt/Tt,Tt,Low,22.61170615600995,Tt/Tt,Tt
6073,A,Tt/Tt,Tt,High,83.20332813312532,Tt/Tt,Tt
6073,B,Tt/Tt,Tt,High,7.598313857318178,Tt/Tt,Tt
6074,A,None/None,None,Low,0,None/None,None
6074,B,None/None,None,Low,0,None/None,None
6075,A,Tt/Tt,Tt,Low,27.310924369747898,Tt/Tt,Tt
6075,B,Tt/Tt,Tt,Low,16.479820627802688,Tt/Tt,Tt
6076,A,Tt/None,None,Low,0,Tt/None,Tt
6076,B,Tt/None,Tt,Low,0,Tt/None,None
6077,A,Sp/Sp,Sp,Low,16.685714285714287,Sp/Sp,Sp
6077,B,Sp/Sp,Sp,Low,0,Sp/Sp,Sp
6078,A,Tt/Sp,Tt,Low,37.000291800408526,Tt/Sp,Sp
6078,B,Tt/Sp,Sp,Low,9.222823413674373,Tt/Sp,Tt
6079,A,Sp/None,Sp,Low,7.192575406032484,Sp/None,None
6079,B,Sp/None,None,Low,0,Sp/None,Sp
6080,A,Tt/Tt,Tt,Low,30.929714401458376,Tt/Tt,Tt
6080,B,Tt/Tt,Tt,Low,23.262032085561493,Tt/Tt,Tt
6084,A,Sp/Sp,Sp,Low,39.610533303828284,Sp/Sp,Sp
6084,B,Sp/Sp,Sp,Low,13.716962194713952,Sp/Sp,Sp
6085,A,Tt/Sp,Tt,Low,49.20863309352517,Tt/Sp,Sp
6085,B,Tt/Sp,Sp,Low,6.399317406143344,Tt/Sp,Tt
6087,A,Tt/Tt,Tt,High,21.88449848024316,Tt/Tt,Tt
6087,B,Tt/Tt,Tt,High,30.401034928848638,Tt/Tt,Tt
6088,A,Tt/Tt,Tt,Low,43.03745928338762,Tt/Tt,Tt
6088,B,Tt/Tt,Tt,Low,24.184129165235316,Tt/Tt,Tt
6090,A,Tt/None,Tt,High,42.064092858945244,Tt/None,None
6090,B,Tt/None,None,High,0,Tt/None,Tt
6091,A,Tt/None,Tt,High,63.46318860477089,Tt/None,None
6091,B,Tt/None,None,High,0,Tt/None,Tt
6092,A,Sp/Sp,Sp,Low,3.7514209928003033,Sp/Sp,Sp
6092,B,Sp/Sp,Sp,Low,3.611039463502708,Sp/Sp,Sp
6093,A,Tt/Tt,Tt,High,28.162551889884202,Tt/Tt,Tt
6093,B,Tt/Tt,Tt,High,50.24820739106453,Tt/Tt,Tt
6094,A,Tt/Tt,Tt,High,30.782396088019564,Tt/Tt,Tt
6094,B,Tt/Tt,Tt,High,45.174844131200864,Tt/Tt,Tt
6096,A,Tt/None,None,Low,0,Tt/None,Tt
6096,B,Tt/None,Tt,Low,0,Tt/None,None
6097,A,Tt/Tt,Tt,High,41.514789363609204,Tt/Tt,Tt
6097,B,Tt/Tt,Tt,High,21.740170667517347,Tt/Tt,Tt
6099,A,Tt/Tt,Tt,High,22.03196347031963,Tt/Tt,Tt
6099,B,Tt/Tt,Tt,High,25.052192066805848,Tt/Tt,Tt
6100,A,Tt/Tt,Tt,Low,35.91968269707486,Tt/Tt,Tt
6100,B,Tt/Tt,Tt,Low,17.820131030375222,Tt/Tt,Tt
6101,A,Tt/None,Tt,Low,34.672789896670494,Tt/None,None
6101,B,Tt/None,None,Low,0,Tt/None,Tt
6102,A,Tt/Tt,Tt,High,18.951132300357568,Tt/Tt,Tt
6102,B,Tt/Tt,Tt,High,56.06413240237911,Tt/Tt,Tt
6103,A,Tt/Tt,Tt,High,28.56649395509499,Tt/Tt,Tt
6103,B,Tt/Tt,Tt,High,12.90414878397711,Tt/Tt,Tt
6104,A,Tt/Tt,Tt,Low,12.348450830713965,Tt/Tt,Tt
6104,B,Tt/Tt,Tt,Low,47.1264367816092,Tt/Tt,Tt
6106,A,Tt/Sp,Tt,High,18.10181424316274,Tt/Sp,Sp
6106,B,Tt/Sp,Sp,High,0,Tt/Sp,Tt
