plant,side,tissue,Identifier 1,Identifier 2,Run,Row,Amount,d13C,pctC,mcgC,d15N,pctN,mcgN,CNratio
6052,b,NM,Bogar_6052_b_NM,2_B5,1,13,3834,-9.55,42.6,1632,3.46,1.6,61,26.5
6077,a,mycorrhizas,Bogar_6077_a_mycorrhizas,2_B6,1,14,2701,-17.53,35.2,949,7.06,1,28,33.9
6045,b,NM,Bogar_6045_b_NM,2_B7,1,15,2699,-25.67,46.4,1252,2.28,0.6,15,83.4
6056,b,NM,Bogar_6056_b_NM,2_B8,1,16,2821,-26.35,46.9,1323,4.5,0.7,20,66.7
6084,b,NM,Bogar_6084_b_NM,2_B9,1,17,2233,-19.65,47.4,1058,4.29,0.7,15,72.3
6071,a,mycorrhizas,Bogar_6071_a_mycorrhizas,2_B10,1,18,1486,-27.17,42.2,627,4.08,0.9,14,45.1
6028,a,mycorrhizas,Bogar_6028_a_mycorrhizas,2_B12,1,20,2873,-17.61,31.3,899,3.6,1.6,47,19
6004,X,mycorrhizas,Bogar_6004_X_mycorrhizas,1_A11,1,24,2394,-30.05,40.2,963,7.4,1,24,40.6
6091,a,NM,Bogar_6091_a_NM,1_A12,1,25,2495,-29.55,45.7,1140,4.25,1.5,38,30.2
6073,a,TFR,Bogar_6073_a_TFR,1_B1,1,26,3269,-31.33,35.4,1157,4.3,1.5,49,23.4
6091,a,hyphae/rhizomorphs,Bogar_6091_a_hyphae/rhizomorphs,1_B4,1,30,3232,-28.73,7.3,235,6.47,0.5,17,13.9
6004,X,NM,Bogar_6004_X_NM,1_B5,1,31,3619,-29.31,43,1556,5.14,0.7,25,61.5
6073,b,mycorrhizas,Bogar_6073_b_mycorrhizas,1_B8,1,34,3253,-30.54,37.4,1216,4.5,1.9,63,19.3
6066,a,NM,Bogar_6066_a_NM,1_B9,1,35,3734,-13.41,42.8,1600,2.76,1.6,59,27.2
6015,a,mycorrhizas,Bogar_6015_a_mycorrhizas,1_C1,1,40,2470,-16.36,10.7,265,4.65,1.2,29,9.3
6098,a,NM,Bogar_6098_a_NM,1_C2,1,41,3492,-22.41,46.8,1635,7.54,1.7,59,27.7
6070,a,mycorrhizas,Bogar_6070_a_mycorrhizas,1_C3,1,42,2330,-1.59,40.5,944,13.44,2.6,60,15.6
6078,b,NM,Bogar_6078_b_NM,1_C5,1,44,2734,-21.26,46.9,1282,4.42,0.9,25,51.7
6040,a,mycorrhizas,Bogar_6040_a_mycorrhizas,1_C6,1,45,2894,-16.63,39.4,1139,7.47,3.6,105,10.9
6093,b,NM,Bogar_6093_b_NM,1_C7,1,46,2440,-14.24,45.8,1117,5.15,2.7,67,16.7
6019,a,NM,Bogar_6019_a_NM,1_C8,1,47,3629,-21.6,45.2,1639,3.95,0.9,32,50.8
6034,a,mycorrhizas,Bogar_6034_a_mycorrhizas,1_C10,1,52,1868,-16.92,35.7,666,7.26,3.6,67,9.9
6063,b,TFR,Bogar_6063_b_TFR,1_C11,1,53,2819,-21.51,46.3,1306,4.37,1.3,38,34.4
6075,a,mycorrhizas,Bogar_6075_a_mycorrhizas,1_C12,1,54,2748,-27.13,43.9,1206,5.94,0.7,20,59.7
6002,b,NM,Bogar_6002_b_NM,1_D1,1,55,3215,-12.98,39.2,1260,1.6,1.5,47,27
6084,a,NM,Bogar_6084_a_NM,1_D2,1,56,3038,-23.09,45,1367,3.49,0.7,21,63.9
6072,a,NM,Bogar_6072_a_NM,1_D3,1,59,3281,-27.8,47.9,1571,3.03,0.8,27,59.2
6052,b,mycorrhizas,Bogar_6052_b_mycorrhizas,1_D4,1,60,2317,72.32,18.9,438,6.12,1.8,42,10.4
6032,a,hyphae/rhizomorphs,Bogar_6032_a_hyphae/rhizomorphs,1_D5,1,61,661,-28.96,39.4,260,-0.31,1.7,11,23
6029,b,NM,Bogar_6029_b_NM,1_D6,1,62,2788,-20.65,46.4,1293,4.61,0.8,23,55.2
6094,a,mycorrhizas,Bogar_6094_a_mycorrhizas,1_D7,1,63,3149,-20.35,41.2,1297,5.98,2,64,20.2
6085,a,NM,Bogar_6085_a_NM,1_D8,1,64,2766,-26.28,45.6,1260,2.12,0.8,21,58.9
6093,a,NM,Bogar_6093_a_NM,1_D9,1,65,2927,-8.24,43.3,1267,2.68,1.8,54,23.6
6087,a,NM,Bogar_6087_a_NM,1_D10,1,67,3379,-20.29,47.1,1591,3.52,2.9,98,16.2
6016,b,NM,Bogar_6016_b_NM,1_D11,1,68,3115,-23.36,46.3,1441,3.35,0.6,18,81.6
6082,a,hyphae/rhizomorphs,Bogar_6082_a_hyphae/rhizomorphs,1_D12,1,69,1736,-20.96,14.9,259,11.63,1.4,23,11.1
6064,a,mycorrhizas,Bogar_6064_a_mycorrhizas,1_E2,1,71,1180,-19.52,36.8,434,5,1.8,21,20.7
6048,a,NM,Bogar_6048_a_NM,1_E3,1,72,2540,-22.28,42.8,1086,4.03,1.5,39,27.8
6014,a,NM,Bogar_6014_a_NM,1_E6,1,76,3494,-6.85,42.8,1495,1.63,2.2,78,19.2
6051,b,NM,Bogar_6051_b_NM,1_E8,1,78,3409,-24.78,44.7,1525,5.45,1.6,55,27.9
6059,b,mycorrhizas,Bogar_6059_b_mycorrhizas,1_E9,1,79,3666,-14.6,40,1468,7.15,3.5,127,11.6
6097,a,NM,Bogar_6097_a_NM,1_E11,1,81,3025,0.5,37.8,1143,5.4,1.5,47,24.5
6012,a,NM,Bogar_6012_a_NM,1_E12,1,82,3110,-8,45.3,1408,5.25,1.2,36,38.8
6090,b,NM,Bogar_6090_b_NM,1_F1,1,83,3194,-12.94,45.8,1463,1.91,3.4,108,13.6
6028,b,NM,Bogar_6028_b_NM,1_F3,1,88,3401,-24.57,45.1,1533,3.58,1.6,53,28.9
6057,b,NM,Bogar_6057_b_NM,1_F4,1,89,2674,-26.36,43.3,1158,3.89,0.6,15,78.2
6087,a,mycorrhizas,Bogar_6087_a_mycorrhizas,1_F5,1,90,2653,-28.41,42.6,1130,6.49,2.9,78,14.5
6066,a,mycorrhizas,Bogar_6066_a_mycorrhizas,1_F6,1,91,2896,4.4,38.1,1104,5.25,2.7,79,13.9
6090,a,NM,Bogar_6090_a_NM,1_F7,1,92,3775,0.36,47,1776,2.71,1.8,67,26.5
6025,a,hyphae/rhizomorphs,Bogar_6025_a_hyphae/rhizomorphs,1_F8,1,94,1250,-12.26,10.5,131,13.14,0.8,10,13.5
6043,a,NM,Bogar_6043_a_NM,1_F11,1,97,3498,-17.81,39.6,1385,1.96,0.9,33,42.4
6087,b,NM,Bogar_6087_b_NM,1_F12,1,98,2694,-27.66,45.4,1223,4,2.7,73,16.6
6068,b,hyphae/rhizomorphs,Bogar_6068_b_hyphae/rhizomorphs,1_G1,1,99,1856,-28.3,17.3,320,9.76,2.1,39,8.1
6094,b,hyphae/rhizomorphs,Bogar_6094_b_hyphae/rhizomorphs,1_G2,1,100,2850,-22.8,19.5,556,2.67,1.7,50,11.2
6006,a,NM,Bogar_6006_a_NM,1_G3,1,101,3705,-6.85,43.6,1614,8.89,1.8,67,24
6080,a,mycorrhizas,Bogar_6080_a_mycorrhizas,1_G4,1,104,3046,-25.53,38.8,1182,5.1,0.9,27,43.1
6065,a,hyphae/rhizomorphs,Bogar_6065_a_hyphae/rhizomorphs,1_G5,1,105,760,-24.69,42.5,323,9.47,1.9,14,22.6
6050,b,mycorrhizas,Bogar_6050_b_mycorrhizas,1_G6,1,106,2059,-10.56,22.5,464,6.46,1.8,36,12.8
6012,b,NM,Bogar_6012_b_NM,1_G7,1,107,2771,25.65,17.2,477,7.41,1.5,43,11.2
6058,a,NM,Bogar_6058_a_NM,1_G8,1,108,3022,-26.73,45.9,1386,5.84,0.7,21,64.7
6010,a,hyphae/rhizomorphs,Bogar_6010_a_hyphae/rhizomorphs,1_G10,1,110,3077,-23.56,12,369,9.57,1.1,34,10.7
6099,a,hyphae/rhizomorphs,Bogar_6099_a_hyphae/rhizomorphs,1_G11,1,112,2334,0.49,20.4,476,9.84,1.5,35,13.6
6075,b,hyphae/rhizomorphs,Bogar_6075_b_hyphae/rhizomorphs,1_G12,1,113,1175,-18.88,35.8,420,6.33,1.5,18,23.7
6061,a,NM,Bogar_6061_a_NM,1_H2,1,115,2593,-23.62,53.5,1386,2.39,0.9,24,59
6094,b,mycorrhizas,Bogar_6094_b_mycorrhizas,1_H3,1,116,2436,-18.23,26.6,647,4.03,1.4,34,19.1
6075,b,mycorrhizas,Bogar_6075_b_mycorrhizas,1_H4,1,117,2650,-25.01,43.2,1145,5.76,0.9,24,47.1
6007,b,mycorrhizas,Bogar_6007_b_mycorrhizas,1_H5,1,118,3162,-16.76,26.1,826,5.08,1.5,47,17.7
6006,b,mycorrhizas,Bogar_6006_b_mycorrhizas,1_H6,1,119,2567,-15.72,40.4,1036,7.75,2.4,61,17
6085,b,NM,Bogar_6085_b_NM,1_H7,1,123,3578,-26.32,44.4,1588,1.53,1.2,43,36.8
6066,a,hyphae/rhizomorphs,Bogar_6066_a_hyphae/rhizomorphs,1_H8,1,124,2519,0.05,24.9,627,6.25,3.3,84,7.4
6001,a,NM,Bogar_6001_a_NM,1_H9,1,125,3103,-26.85,41.2,1279,4.85,0.9,29,44.6
6023,b,NM,Bogar_6023_b_NM,1_H10,1,126,3983,-3.92,46.8,1866,2.71,2.9,115,16.2
6099,b,mycorrhizas,Bogar_6099_b_mycorrhizas,1_H11,1,127,2894,-10.23,40.9,1184,14.06,1.8,53,22.2
6064,b,NM,Bogar_6064_b_NM,1_H12,1,128,1231,-18.29,45.2,556,4.19,1.4,17,32.1
6078,b,mycorrhizas,Bogar_6078_b_mycorrhizas,2_A1,1,130,2835,-15.72,41.7,1183,7.8,1.2,34,35.2
6069,b,NM,Bogar_6069_b_NM,2_A3,1,132,2546,-22.26,39.6,1009,5.14,0.6,16,63.4
6092,b,mycorrhizas,Bogar_6092_b_mycorrhizas,2_A4,1,133,2793,-12.92,36,1004,6.71,1.1,29,34.1
6067,a,mycorrhizas,Bogar_6067_a_mycorrhizas,2_A5,1,134,3685,-27.54,43.8,1612,5.02,1,36,44.3
6066,b,NM,Bogar_6066_b_NM,2_A6,1,135,3563,-13.09,41.6,1484,4.21,1.3,45,33
6008,b,NM,Bogar_6008_b_NM,2_A7,1,136,3380,-26.86,37.9,1280,4.99,0.7,24,53.9
6069,a,mycorrhizas,Bogar_6069_a_mycorrhizas,2_A8,1,137,1961,-24.82,40.5,794,7.77,0.9,18,43.2
6006,b,NM,Bogar_6006_b_NM,2_A9,1,139,3901,-9.71,44.6,1741,4.55,1.5,58,30
6012,a,NM,Bogar_6012_a_NM,2_A10,1,140,3827,-6.19,44.5,1702,3.95,1.6,61,27.7
6097,b,mycorrhizas,Bogar_6097_b_mycorrhizas,2_A11,1,141,3085,19.36,30.1,929,6.57,3.3,103,9
6055,b,mycorrhizas,Bogar_6055_b_mycorrhizas,2_A12,1,142,2975,-22.29,39.3,1170,5.41,3,90,13
6079,a,NM,Bogar_6079_a_NM,2_B1,1,143,2455,-26.41,46.6,1143,3.67,0.7,18,62.8
6022,b,NM,Bogar_6022_b_NM,2_B4,1,146,3041,-9.02,37.6,1143,5.07,1.4,43,26.6
6067,b,NM,Bogar_6067_b_NM,2_C1,2,13,2827,-27.73,47.8,1351,2.21,0.8,21,62.9
6033,b,mycorrhizas,Bogar_6033_b_mycorrhizas,2_C4,2,16,2446,-11.87,32.2,788,10.02,1.8,44,17.9
6093,b,mycorrhizas,Bogar_6093_b_mycorrhizas,2_C5,2,17,1956,-13.04,37,723,14.75,2,39,18.7
6057,a,mycorrhizas,Bogar_6057_a_mycorrhizas,2_C6,2,18,3056,-21.24,42.6,1303,6.98,1,29,44.3
6023,a,mycorrhizas,Bogar_6023_a_mycorrhizas,2_C7,2,19,2685,-4.16,46.4,1246,32.79,2.5,68,18.3
6072,a,hyphae/rhizomorphs,Bogar_6072_a_hyphae/rhizomorphs,2_C8,2,20,2017,-27.11,36.2,731,5.43,1.6,32,23
6025,b,NM,Bogar_6025_b_NM,2_C9,2,22,3529,6.11,44.1,1556,3.15,1.2,42,37.3
6026,b,mycorrhizas,Bogar_6026_b_mycorrhizas,2_C10,2,23,2282,-10.39,41.7,951,12.63,2.4,55,17.2
6052,b,mycorrhizas,Bogar_6052_b_mycorrhizas,2_C12,2,25,2237,81.02,35.5,793,6.66,2.4,53,14.8
6056,b,mycorrhizas,Bogar_6056_b_mycorrhizas,2_D1,2,26,3275,-26.04,22.7,743,8.99,0.6,20,36.9
6056,a,mycorrhizas,Bogar_6056_a_mycorrhizas,2_D2,2,27,1926,-9.62,26.8,516,6.68,0.8,15,33.5
6074,a,NM,Bogar_6074_a_NM,2_D4,2,30,3141,-23.75,48.9,1535,7.38,0.8,24,64.8
6038,b,NM,Bogar_6038_b_NM,2_D5,2,31,2725,-13.98,48.1,1312,5.52,1.8,49,26.6
6035,a,NM,Bogar_6035_a_NM,2_D6,2,32,3376,-24.34,43.6,1471,5.64,0.8,27,55.2
6016,a,mycorrhizas,Bogar_6016_a_mycorrhizas,2_D8,2,34,3430,-23.89,37.5,1288,5.61,0.8,27,47.5
6002,a,mycorrhizas,Bogar_6002_a_mycorrhizas,2_D10,2,36,1723,-3.42,19.6,338,8.91,1.8,32,10.6
6068,a,NM,Bogar_6068_a_NM,2_D11,2,37,3633,-27.01,41.5,1509,2.61,1.7,61,24.8
6006,b,hyphae/rhizomorphs,Bogar_6006_b_hyphae/rhizomorphs,2_D12,2,38,1296,-23.89,18.3,238,11.88,1.8,24,10
6082,a,NM,Bogar_6082_a_NM,2_E1,2,40,2142,-30.31,35.1,752,7.72,1.5,32,23.7
6038,b,mycorrhizas,Bogar_6038_b_mycorrhizas,2_E2,2,41,2304,7.42,42.9,988,17.41,2.1,49,20.1
6035,b,mycorrhizas,Bogar_6035_b_mycorrhizas,2_E3,2,42,2058,-25.04,47.1,969,5.65,1.3,27,36.6
6031,b,TFR,Bogar_6031_b_TFR,2_E4,2,43,2991,-21.51,42.9,1284,5.55,0.8,24,53.1
6035,b,NM,Bogar_6035_b_NM,2_E5,2,44,3135,-22.31,48.2,1512,5.07,0.9,29,52.8
6053,b,mycorrhizas,Bogar_6053_b_mycorrhizas,2_E6,2,45,1746,-19.64,37.2,650,7.33,0.9,16,40.7
6020,a,NM,Bogar_6020_a_NM,2_E7,2,46,3140,-20.36,40.8,1282,4.6,0.6,20,63.1
6026,a,NM,Bogar_6026_a_NM,2_E8,2,47,3320,-16.85,46.4,1540,5.6,1.9,63,24.6
6012,a,hyphae/rhizomorphs,Bogar_6012_a_hyphae/rhizomorphs,2_E9,2,51,3250,-17.34,4.2,136,28.29,0.3,11,12.9
6038,a,mycorrhizas,Bogar_6038_a_mycorrhizas,2_E10,2,52,2799,28.13,44.9,1258,4.62,2.4,67,18.9
6050,a,mycorrhizas,Bogar_6050_a_mycorrhizas,2_E11,2,53,3639,-9.5,14.9,544,5.57,1.2,44,12.3
6092,b,NM,Bogar_6092_b_NM,2_E12,2,54,2761,-25.29,48.1,1329,4.99,0.6,18,74.1
6008,a,TFR,Bogar_6008_a_TFR,2_F1,2,55,2798,-25.67,44.7,1252,5.51,1.1,31,40.5
6013,a,mycorrhizas,Bogar_6013_a_mycorrhizas,2_F2,2,56,1873,-7.33,37.4,700,7.31,1.2,22,32.1
6022,a,mycorrhizas,Bogar_6022_a_mycorrhizas,2_F3,2,59,1616,-13.09,26.5,428,6.01,1.4,23,18.9
6079,b,NM,Bogar_6079_b_NM,2_F4,2,60,2281,-26.92,46.7,1066,5.66,0.8,19,55.9
6069,a,hyphae/rhizomorphs,Bogar_6069_a_hyphae/rhizomorphs,2_F5,2,61,376,-27.6,36.4,137,6.61,1.6,6,22.5
6031,a,NM,Bogar_6031_a_NM,2_F6,2,62,2317,-24.7,45,1043,3.71,0.6,14,75.7
6015,b,hyphae/rhizomorphs,Bogar_6015_b_hyphae/rhizomorphs,2_F7,2,63,2248,-11.75,15.6,351,28.69,1.3,29,12
6012,a,NM,Bogar_6012_a_NM,2_F8,2,64,2252,-7.32,45.5,1026,6.95,0.9,21,49.8
6040,b,NM,Bogar_6040_b_NM,2_F9,2,65,3694,-23.25,44.3,1636,3.35,1.5,56,29.4
6057,a,NM,Bogar_6057_a_NM,2_F10,2,67,2851,-24.87,48.6,1387,4.64,0.5,15,91.2
6027,a,hyphae/rhizomorphs,Bogar_6027_a_hyphae/rhizomorphs,2_F11,2,68,2635,-19.61,18.4,485,19.86,1.3,33,14.6
6020,b,NM,Bogar_6020_b_NM,2_F12,2,69,2000,-20.4,42.7,853,5.05,0.5,9,90.1
6059,b,hyphae/rhizomorphs,Bogar_6059_b_hyphae/rhizomorphs,2_G1,2,70,3769,-24.72,12,453,11.39,0.9,33,13.5
6036,b,NM,Bogar_6036_b_NM,2_G2,2,71,3003,-25.35,42.7,1284,5.37,0.6,18,72.6
6082,b,hyphae/rhizomorphs,Bogar_6082_b_hyphae/rhizomorphs,2_G3,2,72,685,-22.32,22.3,153,10.46,1.5,10,14.7
6007,b,hyphae/rhizomorphs,Bogar_6007_b_hyphae/rhizomorphs,2_G4,2,73,2862,-23.45,11,314,8.54,0.4,12,25.5
6050,b,NM,Bogar_6050_b_NM,2_G5,2,74,1557,-21.12,33.4,520,3.18,1.4,23,23.1
6021,a,NM,Bogar_6021_a_NM,2_G6,2,76,3378,-27.82,45.6,1542,4.98,0.6,20,77.7
6045,a,mycorrhizas,Bogar_6045_a_mycorrhizas,2_G7,2,77,2796,-27.21,44.1,1232,6.04,0.9,24,51.1
6056,a,NM,Bogar_6056_a_NM,2_G8,2,78,2351,-25.17,48.1,1131,5.34,0.7,17,67.4
6054,a,NM,Bogar_6054_a_NM,2_G9,2,79,2651,-26.85,44.9,1190,5.63,0.7,18,66.8
6011,b,NM,Bogar_6011_b_NM,2_G10,2,80,4099,-19.37,46.9,1924,3.92,0.6,23,84
6096,a,TFR,Bogar_6096_a_TFR,2_G11,2,81,3040,-26.5,34,1035,6.13,0.7,23,46
6059,b,NM,Bogar_6059_b_NM,2_G12,2,82,3617,-18.97,52.4,1897,4.28,1.9,70,26.9
6030,a,NM,Bogar_6030_a_NM,2_H1,2,83,3333,-21.42,46.9,1563,3.57,0.4,14,109.3
6013,a,NM,Bogar_6013_a_NM,2_H2,2,87,3176,-21.44,43.1,1368,5.47,0.7,22,62.4
6052,a,mycorrhizas,Bogar_6052_a_mycorrhizas,2_H3,2,88,3830,-21.97,32.1,1231,8.43,1.4,52,23.5
6063,b,mycorrhizas,Bogar_6063_b_mycorrhizas,2_H4,2,89,1515,30.16,30,455,7.38,1.6,24,18.9
6051,a,NM,Bogar_6051_a_NM,2_H5,2,90,3673,-23.22,43.8,1607,4.57,1.2,44,36.3
6048,b,mycorrhizas,Bogar_6048_b_mycorrhizas,2_H6,2,91,2775,-1.31,40.4,1122,19.26,2.7,74,15.1
6050,a,NM,Bogar_6050_a_NM,2_H7,2,92,3627,-22.27,44.3,1605,1.91,1.4,52,30.9
6021,a,mycorrhizas,Bogar_6021_a_mycorrhizas,2_H8,2,94,2599,-25.55,38.7,1005,5.71,0.9,22,45
6099,a,NM,Bogar_6099_a_NM,2_H9,2,95,3137,2.15,38.9,1220,3.49,1.5,47,26
6079,a,mycorrhizas,Bogar_6079_a_mycorrhizas,2_H10,2,96,2459,-28.78,41.3,1016,8.29,1.1,26,39.2
6088,a,mycorrhizas,Bogar_6088_a_mycorrhizas,2_H11,2,97,2373,-26,42.7,1014,6.32,0.9,22,46.3
6075,b,NM,Bogar_6075_b_NM,2_H12,2,98,2696,-22.52,52.2,1409,8.65,0.8,22,63.4
6041,b,NM,Bogar_6041_b_NM,3_A1,2,99,3494,-17.37,36.9,1289,14.02,1.2,41,31.1
6024,a,mycorrhizas,Bogar_6024_a_mycorrhizas,3_A2,2,100,2190,-0.77,47.7,1045,9.23,2.4,53,19.7
6076,a,NM,Bogar_6076_a_NM,3_A3,2,101,3005,-25.77,45.1,1354,4.77,0.8,23,58.5
6090,a,mycorrhizas,Bogar_6090_a_mycorrhizas,3_A4,2,104,4044,-20.61,27.5,1112,3.86,1.6,63,17.5
6010,b,NM,Bogar_6010_b_NM,3_A5,2,105,2447,17.27,48.1,1177,4.18,1.6,40,29.2
6099,b,hyphae/rhizomorphs,Bogar_6099_b_hyphae/rhizomorphs,3_A6,2,106,1463,-4.19,28.1,411,15.75,2,30,13.8
6082,b,mycorrhizas,Bogar_6082_b_mycorrhizas,3_A7,2,107,2853,3.83,44.3,1262,7.51,2.5,72,17.4
6015,a,NM,Bogar_6015_a_NM,3_A8,2,108,3804,-12.18,43.3,1647,1.95,1,38,43
6028,b,mycorrhizas,Bogar_6028_b_mycorrhizas,3_A9,2,109,2106,-20.06,22.6,476,7.85,0.9,19,24.6
6035,a,mycorrhizas,Bogar_6035_a_mycorrhizas,3_A10,2,110,919,-24.23,46.7,429,5.73,1.4,13,32.5
6023,a,hyphae/rhizomorphs,Bogar_6023_a_hyphae/rhizomorphs,3_A11,2,112,868,-10.08,40.7,353,26.45,2.7,24,14.8
6070,b,NM,Bogar_6070_b_NM,3_A12,2,113,3524,0.75,47.2,1663,4.2,2.1,74,22.4
6024,a,hyphae/rhizomorphs,Bogar_6024_a_hyphae/rhizomorphs,3_B1,2,114,637,-9.08,40,255,10.98,2.5,16,15.9
6068,b,NM,Bogar_6068_b_NM,3_B2,2,115,3823,-28.18,45.6,1742,3.02,1.9,71,24.4
6085,a,mycorrhizas,Bogar_6085_a_mycorrhizas,3_B3,2,116,2885,-25.79,41.8,1206,4.9,1,30,40.2
6034,b,mycorrhizas,Bogar_6034_b_mycorrhizas,3_B4,2,117,1946,-24.73,27.6,536,12.81,1.5,28,19
6023,a,NM,Bogar_6023_a_NM,3_B5,2,118,3217,-6.25,46.4,1492,14.45,1.7,54,27.8
6062,a,mycorrhizas,Bogar_6062_a_mycorrhizas,3_B6,2,119,520,19.83,40.4,210,7.33,2.1,11,19.5
6029,a,NM,Bogar_6029_a_NM,3_B7,2,123,2530,-22.35,44.8,1133,3.84,1,25,45.9
6054,b,NM,Bogar_6054_b_NM,3_B8,2,124,3010,-26.45,43.8,1320,4.65,0.8,23,57.9
6032,b,hyphae/rhizomorphs,Bogar_6032_b_hyphae/rhizomorphs,3_B10,2,126,3077,-26.01,15.1,464,4.02,0.7,21,21.6
6088,a,NM,Bogar_6088_a_NM,3_B11,2,127,3429,-25.13,45.7,1567,4.29,0.7,23,67.2
6057,a,mycorrhizas,Bogar_6057_a_mycorrhizas,3_B12,2,128,1719,-16.35,38.3,658,6.8,1.2,20,33.1
6085,b,mycorrhizas,Bogar_6085_b_mycorrhizas,3_C1,2,130,2736,-22.69,45.7,1252,6.82,1.2,32,38.5
6028,a,NM,Bogar_6028_a_NM,3_C2,2,131,3063,-23.75,45.2,1385,2.82,1.3,41,34.1
6016,b,TFR,Bogar_6016_b_TFR,3_C3,2,132,2605,-25.04,43.3,1128,4.77,0.7,18,62.7
6074,b,NM,Bogar_6074_b_NM,3_C4,2,133,2459,-23.48,69.6,1712,6.12,1.2,29,59.7
6054,a,mycorrhizas,Bogar_6054_a_mycorrhizas,3_C5,2,134,2745,-26.62,45.6,1252,5.83,1.1,29,43.1
6097,a,mycorrhizas,Bogar_6097_a_mycorrhizas,3_C6,2,135,2964,0.47,33.1,982,9.78,2.2,65,15
6096,b,NM,Bogar_6096_b_NM,3_C7,2,136,2245,-25.94,47.3,1063,4.28,0.8,17,62.5
6027,a,mycorrhizas,Bogar_6027_a_mycorrhizas,3_C8,2,137,3818,-16.58,37.5,1431,15.31,2.1,79,18.2
