Plant,Side,dead_tissue,mycorrhizas,other,roots,percent_col,compartment_fungus,enriched
6001,A,0.00312,0.00774,NA,0.02099,26.94048033414549,SUIPU,1
6001,B,NA,0,NA,0.02171,0,NM,1
6002,A,NA,0.0801,NA,0.02481,76.35115813554475,SUIPU,1
6002,B,0.0097,0.0282,NA,0.060219999999999996,31.893236824247907,MIXED,1
6004,none,0.00686,0.00407,NA,0.040549999999999996,9.121470192738682,NA,NA
6006,A,NA,0.0131,NA,0.06016,17.881517881517883,THETE,1
6006,B,NA,0.00873,NA,0.0303,22.3674096848578,THETE,1
6007,A,NA,0,NA,0.030969999999999998,0,NM,1
6007,B,6.9e-4,0.01336,NA,0.0356,27.287581699346404,SUIPU,1
6008,A,NA,0,NA,0.0279,0,SUIPU,1
6008,B,NA,4.8e-4,NA,0.03811,1.2438455558434829,SUIPU,1
6010,A,NA,0.01606,NA,0.09852999999999999,14.015184571079503,THETE,1
6010,B,NA,0,NA,0.1128,0,NM,1
6011,A,NA,0.02296,NA,0.07805999999999999,22.72817263908137,THETE,1
6011,B,0.00677,0.00798,NA,0.07516,9.598267981717584,SUIPU,1
6012,A,0.0129,0.0927,NA,0.0704,56.83629675045984,THETE,1
6012,B,0.0051,0.0038,NA,0.0355,9.669211195928755,SUIPU,1
6013,A,0.00169,0.00227,NA,0.02594,8.04679191775966,SUIPU,1
6013,B,NA,0,NA,0.49112,0,NM,1
6014,A,NA,0,NA,0.02933,0,NM,1
6014,B,NA,0,NA,0.03839,0,NM,1
6015,A,0.0027,0.0639,NA,0.0974,39.61562306261624,SUIPU,1
6015,B,NA,0.092,NA,0.10456,46.8050468050468,THETE,1
6016,A,NA,0.05775,NA,0.0637,47.55043227665706,THETE,1
6016,B,NA,0,NA,0.02443,0,NM,1
6018,A,NA,0,NA,0.0122,0,NA,1
6018,B,NA,0.01757,NA,0.0474,27.04325073110666,THETE,1
6019,A,0.03587,0.0185,NA,0.020040000000000002,48.0020757654385,SUIPU,1
6019,B,5.5e-4,0.00259,NA,0.049569999999999996,4.965490797546012,SUIPU,1
6020,A,NA,0,NA,0.07132,0,SUIPU,1
6020,B,0.01921,0.00283,NA,0.03295,7.909446618222471,SUIPU,1
6021,A,NA,0.01844,NA,0.040319999999999995,31.381892443839355,THETE,1
6021,B,NA,0.0074400000000000004,NA,0.09323000000000001,7.3904837588159324,THETE,1
6022,A,NA,0.0427,NA,0.0451,48.63325740318907,THETE,1
6022,B,NA,0.03,NA,0.06075,33.057851239669425,THETE,1
6023,A,NA,0.0198,NA,0.0394,33.44594594594595,THETE,1
6023,B,NA,0.0027,NA,0.0446,5.708245243128964,THETE,1
6024,A,NA,0.0259,NA,0.10700000000000001,19.488337095560567,THETE,1
6024,B,NA,0.0189,NA,0.0393,32.47422680412371,THETE,1
6025,A,NA,0.01655,NA,0.042460000000000005,28.04609388239281,THETE,1
6025,B,0.01904,0.01307,NA,0.05161,20.20717377860235,SUIPU,1
6026,A,NA,0.02705,NA,0.09192,22.736824409515002,THETE,1
6026,B,NA,0.00917,NA,0.05633,13.999999999999998,THETE,1
6027,A,NA,0.04506,NA,0.055760000000000004,44.693513191827016,THETE,1
6028,A,0.0274,0.0379,NA,0.05705,39.91574512901527,MIXED,1
6028,B,0.0105,0.0629,NA,0.0385,62.03155818540434,THETE,1
6029,A,NA,9e-5,NA,0.04313,0.20823692734844979,THETE,1
6029,B,NA,0.00153,NA,0.03923,3.7536800785083417,THETE,1
6030,A,NA,0.0072,NA,0.07332,8.941877794336811,THETE,1
6030,B,NA,0.00637,NA,0.040330000000000005,13.640256959314772,THETE,1
6031,A,NA,0.00805,NA,0.017980000000000003,30.925854782942753,THETE,1
6031,B,NA,0.0034,NA,0.049240000000000006,6.4589665653495425,NM,1
6032,A,NA,0.02623,NA,0.03577,42.306451612903224,THETE,1
6032,B,NA,0.02386,NA,0.04517,34.564682022309135,THETE,1
6033,A,0.00296,0.0094,NA,0.02336,28.693528693528698,SUIPU,1
6033,B,NA,0.00314,NA,0.05809,5.128205128205128,SUIPU,1
6034,A,NA,0.02442,NA,0.040190000000000003,37.79600681009132,THETE,1
6034,B,0.02213,0.023899999999999998,NA,0.053720000000000004,30.791033238855963,MIXED,1
6035,A,NA,8.5e-4,NA,0.01781,4.555198285101822,THETE,1
6035,B,NA,0.00437,NA,0.02195,16.60334346504559,THETE,1
6036,A,0.0037,3e-4,0.00528,0.04026,0.6544502617801047,SUIPU,1
6036,B,1.6e-4,0,NA,0.04259,0,SUIPU,1
6038,A,NA,0.0095,NA,0.18480000000000002,4.889346371590323,THETE,1
6038,B,NA,0.0325,NA,0.036699999999999997,46.96531791907515,THETE,1
6039,A,NA,0.01556,NA,0.03635,29.974956655750333,THETE,1
6039,B,NA,0,NA,0.05432,0,NM,1
6040,A,NA,0.2364,NA,0.031,88.40688107703815,THETE,1
6040,B,NA,0,NA,0.04905,0,NM,1
6041,A,0.0037,0.0205,NA,0.046,30.82706766917293,SUIPU,1
6041,B,NA,0.0018,NA,0.0352,4.864864864864864,THETE,1
6043,A,NA,0.0162,NA,0.1021,13.693998309382927,SUIPU,1
6043,B,0.00316,0.00207,NA,0.04733,4.190283400809716,SUIPU,1
6044,A,NA,0.01025,NA,0.032529999999999996,23.95979429640019,THETE,1
6044,B,NA,0.0018600000000000001,NA,0.02524,6.863468634686347,THETE,1
6045,A,0.00144,0.01733,NA,0.05926,22.626974800887844,THETE,1
6045,B,NA,0.03315,NA,0.032869999999999996,50.21205695243866,THETE,1
6048,A,NA,0,NA,0.00795,0,NM,1
6048,B,NA,0.00354,NA,0.0211,14.366883116883116,THETE,1
6049,A,0.02036,0.0172,NA,0.08981,16.073264180917672,THETE,1
6049,B,NA,0,NA,0.03994,0,NM,1
6050,A,0.00794,0.01354,NA,0.03553,27.59323415528836,SUIPU,1
6050,B,0.02985,0.02736,NA,0.03931,41.037948102594875,SUIPU,1
6051,A,NA,0,NA,0.05215,0,NM,1
6051,B,NA,0.0218,NA,0.02715,44.535240040858014,THETE,1
6052,A,NA,0.01834,NA,0.038060000000000004,32.51773049645389,THETE,1
6052,B,NA,0.005889999999999999,NA,0.05236,10.111587982832617,MIXED,1
6053,A,NA,0.01596,NA,0.046400000000000004,25.593329057087878,THETE,1
6053,B,0.01541,0.00544,NA,0.04428,10.94127111826227,SUIPU,1
6054,A,NA,0.0097,NA,0.0235,29.21686746987952,THETE,1
6054,B,NA,0,NA,0.0273,0,NM,1
6055,A,0.00445,0.01212,NA,0.0451,21.1814051031108,THETE,1
6055,B,3e-4,0.0192,NA,0.1076,15.141955835962145,THETE,1
6056,A,0.00358,7e-4,0.01228,0.01585,2.428026361429067,MIXED,1
6056,B,NA,0.01282,NA,0.02185,36.97721372944909,SUIPU,1
6057,A,0.00511,0.01374,NA,0.02152,38.96766874645491,MIXED,1
6057,B,NA,0.02002,NA,0.04595,30.347127482188874,THETE,1
6058,A,NA,0,NA,0.03195,0,NM,1
6058,B,NA,0,NA,0.07091,0,NM,1
6059,B,NA,0.02551,NA,0.0523,32.78498907595424,NA,1
6061,A,NA,0,NA,0.0222,0,NM,1
6061,B,NA,0.00306,NA,0.05926,4.910141206675224,THETE,1
6062,A,9e-4,0.00143,NA,0.040459999999999996,3.413702554308905,SUIPU,1
6062,B,5.6e-4,0,NA,0.04939,0,NM,1
6063,A,0.0031,0.0122,NA,0.06801,15.210073556913104,SUIPU,1
6063,B,NA,0,NA,0.0335,0,NM,1
6064,A,0.0124,0.00185,NA,0.04229,4.191209787041233,SUIPU,1
6064,B,NA,0.00667,NA,0.032189999999999996,17.16417910447761,THETE,1
6065,A,NA,0.04468,NA,0.03701,54.694577059615625,THETE,1
6065,B,NA,0.01168,NA,0.12567,8.503822351656352,THETE,1
6066,A,NA,0.03796,NA,0.0557,40.52957505872305,THETE,1
6066,B,NA,0.00971,NA,0.03839,20.187110187110186,THETE,1
6067,A,NA,0.01886,NA,0.0349,35.081845238095234,THETE,1
6067,B,0.00488,0.02558,NA,0.01476,63.41100644521567,MIXED,1
6068,A,NA,0,NA,0.03422,0,NM,1
6068,B,0.0053,0.01874,NA,0.036449999999999996,33.95542670773691,THETE,1
6069,A,NA,0.00352,NA,0.02879,10.89445991952956,THETE,1
6069,B,NA,0,NA,0.07164,0,NM,1
6070,A,NA,0.0118,NA,0.0298,28.365384615384613,THETE,1
6070,B,NA,0.0191,NA,0.0556,25.568942436412318,THETE,1
6071,A,NA,0.02043,NA,0.01718,54.32065939909598,THETE,1
6071,B,NA,0.0024,NA,0.03737,6.034699522252954,SUIPU,1
6072,A,NA,0.0174,NA,0.0122,58.783783783783775,THETE,1
6072,B,NA,0.0209,NA,0.07153,22.61170615600995,THETE,1
6073,A,NA,0.032,NA,0.00646,83.20332813312532,THETE,0
6073,B,NA,0.01424,NA,0.17317000000000002,7.598313857318178,THETE,0
6074,A,NA,0,NA,0.02876,0,NM,1
6074,B,NA,0,NA,0.01858,0,NM,1
6075,A,NA,0.0065,NA,0.017300000000000003,27.310924369747898,THETE,1
6075,B,NA,0.00294,NA,0.0149,16.479820627802688,THETE,1
6076,A,NA,0,NA,0.0327,0,NM,1
6076,B,NA,0,NA,0.0406,0,THETE,1
6077,A,6.5e-4,0.00876,NA,0.043739999999999994,16.68571428571429,SUIPU,1
6077,B,0.00817,0.00748,NA,0.025800000000000003,22.475961538461533,SUIPU,1
6078,A,NA,0.01268,NA,0.021589999999999998,37.000291800408526,THETE,1
6078,B,0.00644,0.00375,NA,0.03691,9.222823413674371,SUIPU,1
6079,A,0.0114,0.0062,NA,0.07999999999999999,7.192575406032484,SUIPU,1
6079,B,NA,0,NA,0.0288,0,NM,1
6080,A,NA,0.01527,NA,0.034100000000000005,30.929714401458376,THETE,1
6080,B,NA,0.0087,NA,0.0287,23.262032085561493,THETE,1
6082,A,NA,0,NA,0.0057,0,OTHER,1
6082,B,0.001,0.0113,NA,0.0258,30.45822102425876,OTHER,1
6084,A,0.0184,0.0179,NA,0.027290000000000002,39.61053330382828,SUIPU,1
6084,B,0.00753,0.0041,NA,0.02579,13.716962194713952,SUIPU,1
6085,A,NA,0.0342,NA,0.0353,49.20863309352518,THETE,1
6085,B,0.0033,0.0015,NA,0.02194,6.399317406143344,SUIPU,1
6087,A,0.0099,0.0216,NA,0.0771,21.88449848024316,THETE,1
6087,B,0.0075,0.0235,NA,0.0538,30.40103492884864,THETE,1
6088,A,NA,0.01057,NA,0.01399,43.037459283387626,THETE,1
6088,B,NA,0.00704,NA,0.02207,24.184129165235316,THETE,1
6090,A,NA,0.03334,NA,0.04592,42.064092858945244,THETE,1
6090,B,NA,0,NA,0.04947,0,NM,1
6091,A,NA,0.07396,NA,0.04258,63.46318860477089,THETE,0
6091,B,NA,0,NA,0.03595,0,NM,0
6092,A,0.00245,9.9e-4,NA,0.0254,3.751420992800303,SUIPU,1
6092,B,NA,0.0028,NA,0.07474,3.6110394635027085,SUIPU,1
6093,A,NA,0.06445,NA,0.1644,28.162551889884202,THETE,1
6093,B,NA,0.05466,NA,0.05412,50.24820739106454,THETE,1
6094,A,NA,0.02518,NA,0.05662,30.782396088019564,THETE,1
6094,B,NA,0.03333,NA,0.04045,45.174844131200864,THETE,1
6096,A,NA,0,NA,0.02476,0,NM,1
6096,B,NA,0,NA,0.01954,0,THETE,1
6097,A,8.1e-4,0.02779,NA,0.03915,41.514789363609204,THETE,1
6097,B,NA,0.02726,NA,0.09813,21.740170667517344,THETE,1
6098,A,2e-4,0.0014,NA,0.044,3.083700440528635,MIXED,1
6098,B,NA,0,0.0022,0.042800000000000005,0,THETE,1
6099,A,NA,0.02702,NA,0.09562000000000001,22.03196347031963,THETE,1
6099,B,NA,0.0144,NA,0.04307999999999999,25.05219206680585,THETE,1
6100,A,NA,0.01449,NA,0.02585,35.91968269707486,THETE,1
6100,B,NA,0.01496,NA,0.06899,17.820131030375222,THETE,1
6101,A,NA,0.00604,NA,0.01138,34.672789896670494,THETE,1
6101,B,NA,0,NA,0.02948,0,NM,1
6102,A,NA,0.00954,NA,0.0408,18.951132300357568,THETE,1
6102,B,NA,0.06504,NA,0.05097,56.06413240237911,THETE,1
6103,A,NA,0.01654,NA,0.04136,28.56649395509499,THETE,1
6103,B,NA,0.00451,NA,0.030440000000000002,12.90414878397711,THETE,1
6104,A,NA,0.0055,NA,0.03904,12.348450830713965,THETE,1
6104,B,4.5e-4,0.01681,NA,0.01886,47.1264367816092,THETE,1
6105,A,NA,0.00681,NA,NA,100,NA,NA
6105,B,NA,0.02147,NA,NA,100,NA,NA
6106,A,NA,0.01337,NA,0.06049,18.10181424316274,THETE,0
6106,B,0,0,NA,0.02799,0,SUIPU,0
6107,A,NA,0.01315,NA,0.01649,44.365721997300945,THETE,0
6107,B,NA,0.00143,NA,0.04099,3.371051390853371,SUIPU,0
